cod_mun;Município;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
521486;NOVA GLORIA;102,41;108,05;56,82;103,23;84,95;74,49;82,22;51,11;15,79;35,14
521487;NOVA IGUACU DE GOIAS;112,5;148,28;120,69;81,08;121,62;82,05;126,92;142,31;50;56,25
521490;NOVA ROMA;103,03;48,39;72,73;133,33;73,33;50;89,19;105,41;40,74;106,45
521500;NOVA VENEZA;87,37;98,81;69,77;99,03;75,73;125,77;111,61;102,68;36,05;37,11
521520;NOVO BRASIL;156,25;108,33;74,19;69,39;71,43;63,46;136,67;73,33;40,43;56,67
521523;NOVO GAMA;56,15;115,35;49,47;60,93;67,04;68,83;82,2;63,59;37,02;52,32
521525;NOVO PLANALTO;56,82;53,19;66,67;124,24;39,39;84,38;83,61;55,74;89,19;102,33
521530;ORIZONA;121,99;93,94;67,32;97,66;62,57;82,01;56,37;58,82;12,89;22,94
521540;OURO VERDE DE GOIAS;61,54;70,45;108;105;93,33;127,03;98,04;101,96;44,64;53,19
521550;OUVIDOR;80,36;116,67;64,71;126,47;100;84,93;122,67;109,33;48,81;78,26
521560;PADRE BERNARDO;23,29;62,27;64,74;81,03;84,38;81,82;69,61;55,82;37,41;46,21
521565;PALESTINA DE GOIAS;12,96;94,12;107,32;113,64;72,73;89,74;56,6;28,3;12,5;36,36
521570;PALMEIRAS DE GOIAS;36,1;109,85;25,38;80,97;72,92;91,56;99,01;68,81;72,33;63,54
521580;PALMELO;58,33;223,81;75;223,08;146,15;125;165;115;14,29;70
521590;PALMINOPOLIS;85,71;94,74;80,49;115,91;147,73;83,72;120,93;116,28;93,75;53,97
521600;PANAMA;40,62;95,45;109,52;115;72,5;82,76;100;92,31;66,67;120
521630;PARANAIGUARA;34,13;66,91;65,22;78,23;83,87;64,55;85,58;95,19;74,19;68,67
521640;PARAUNA;29,87;113,79;70,45;111,64;85,62;85,71;84,24;80;61,18;74,85
521645;PEROLANDIA;6,38;59,57;69,77;86,96;80,43;86,49;87,5;47,92;48,89;45,65
521680;PETROLINA DE GOIAS;188,1;78,12;82,02;122,35;77,65;117,28;101,28;75,64;23,38;43,59
521690;PILAR DE GOIAS;61,29;70,37;120;65,79;73,68;97,22;60,53;86,84;11,76;17,5
521710;PIRACANJUBA;121,58;78,34;81,25;117,18;87,67;97,18;87,76;100,82;99,15;86,44
521720;PIRANHAS;54,62;105,41;74,56;110,29;66,91;91,79;84;57,6;11,11;19,69
521730;PIRENOPOLIS;62,72;91,16;87,31;108,33;73,55;106,09;80,43;61,92;25,41;35,02
521740;PIRES DO RIO;52,01;81,79;79,19;102,54;96,9;98,55;94,5;92,35;76,13;70,39
521760;PLANALTINA;19,57;106,84;70,01;87,28;70,4;69,09;66,58;44,37;34,1;43,85
521770;PONTALINA;32,07;86,7;77,88;71,08;67,16;65,2;85,02;86,47;90,96;101,65
521800;PORANGATU;41,57;65,25;46,59;77,41;54,66;80,86;116,25;72,61;15,83;16,64
521805;PORTEIRAO;25;130;116,28;176,32;107,89;85,42;103,77;71,7;61,22;114,63
521810;PORTELANDIA;1,64;52,94;44,59;56,92;33,85;50,98;100;64,86;21,28;32,43
521830;POSSE;11,75;143,4;83,96;49,54;50,15;77,94;80,15;70,87;43,85;39,25
521839;PROFESSOR JAMIL;26,67;30;56,25;128,57;78,57;150;65,12;32,56;21,74;50
521850;QUIRINOPOLIS;54,03;59,79;57,24;89,32;64,1;73,47;82,95;66,98;43,29;48,27
521860;RIALMA;73,1;96,97;75,4;108;62,67;69,57;87,34;74,68;73,91;40,22
521870;RIANAPOLIS;44,44;131,58;88,06;122,39;76,12;80,65;112,5;62,5;101,85;54,17
521878;RIO QUENTE;88,68;85,11;62,79;202,27;113,64;90,2;115,52;84,48;9,8;56,52
521880;RIO VERDE;98,84;63,08;56,69;85,68;78,05;75,15;85,38;83,98;68,47;66,07
521890;RUBIATABA;68,21;72,87;70,91;97,74;88,24;76,15;85,47;73,5;57,09;72,15
521900;SANCLERLANDIA;26,14;95,59;42,86;61,54;74,36;100;94,79;56,25;89,77;70
521910;SANTA BARBARA DE GOIAS;39,71;74,7;46,15;72,81;85,09;94,23;78,49;49,46;26,88;51,47
521920;SANTA CRUZ DE GOIAS;23,08;81,48;62,07;96,15;76,92;165,38;91,43;65,71;60,71;50
521925;SANTA FE DE GOIAS;115,15;68,83;26,23;107,5;95;101,52;92,68;69,51;63,86;53,7
521930;SANTA HELENA DE GOIAS;53,93;92,64;66,3;82,84;62,91;64,58;73,06;70,34;30,08;33,2
521935;SANTA ISABEL;51,43;152,78;146,88;81,25;75;51,22;125,71;108,57;37,21;60
521940;SANTA RITA DO ARAGUAIA;76,29;104,71;55,34;77,08;73,96;67,37;64,76;60,95;21,36;19,78
521945;SANTA RITA DO NOVO DESTINO;59,26;187,5;74,07;162,5;118,75;140,91;83,33;60;38,89;58,82
521950;SANTA ROSA DE GOIAS;13,89;66,67;89,66;57,14;107,14;89,19;115,38;94,87;78,57;57,89
521960;SANTA TEREZA DE GOIAS;36,36;159,09;80,43;89,8;69,39;107,14;139,39;151,52;115,79;51,92
521970;SANTA TEREZINHA DE GOIAS;108,57;28,67;51,35;98,58;68,79;58,44;85,82;72,39;79,51;64,17
521971;SANTO ANTONIO DA BARRA;49,06;76;82,61;110,42;102,08;97,92;104,35;130,43;46,67;48,94
521973;SANTO ANTONIO DE GOIAS;49,44;84,04;38,46;110,38;78,3;112;94,9;85,71;51,95;27,38
521975;SANTO ANTONIO DO DESCOBERTO;47,8;145,01;49,51;90,54;76,39;84,64;91,35;68,71;24,9;46,02
521980;SAO DOMINGOS;7,43;69,09;66,89;90,09;99,1;86,55;85,71;73,81;55,75;28,46
521990;SAO FRANCISCO DE GOIAS;132,73;94,92;89,87;92,11;121,05;93,26;84,42;100;59,7;101,64
522000;SAO JOAO D\'ALIANCA;110,28;77,52;57,72;83,93;117,86;105,43;104,17;95,14;17,11;34,07
522005;SAO JOAO DA PARAUNA;65;113,33;183,33;119,05;80,95;80;77,78;61,11;57,14;46,15
522010;SAO LUIS DE MONTES BELOS;38,25;76,58;40,8;85,01;90,19;82,54;77,58;71,97;63,64;70,35
522015;SAO LUIZ DO NORTE;57,14;87,67;27,4;83,1;71,83;85,96;76,67;48,33;55,88;82,69
522020;SAO MIGUEL DO ARAGUAIA;50,3;91,51;57,28;69,3;69,3;68,5;62,42;61,15;38,54;25,83
522026;SAO MIGUEL DO PASSA QUATRO;72,22;220,83;70,97;127,78;66,67;81,82;135,71;110,71;96,77;90,32
522028;SAO PATRICIO;17,39;86,67;140;104;100;64,29;87,5;58,33;65;38,89
522040;SAO SIMAO;28,03;35,09;63,64;90;65,36;67,3;74,82;64,54;58,23;43,72
522045;SENADOR CANEDO;67,32;80,29;40,59;92,09;64,89;62,53;65,93;63,12;37,1;52,46
522050;SERRANOPOLIS;151,16;154,05;110;116,85;89,89;74,7;101,23;108,64;95,7;65,71
522060;SILVANIA;34,5;110,12;58,37;64,88;73,55;64;79,24;57,63;25,83;29,31
522068;SIMOLANDIA;49,53;92,86;48,65;79,57;66,67;107,69;91,67;34,72;25,51;67,11
522070;SITIO D\'ABADIA;228,57;107,41;30,43;68,18;95,45;123,53;157,89;105,26;39,29;48
522100;TAQUARAL DE GOIAS;2,56;101,89;16,22;171,05;97,37;46,67;116,67;44,44;62,22;85,71
522108;TERESINA DE GOIAS;5;116,28;137,84;136,11;97,22;83,33;83,33;43,75;44,44;128,95
522119;TEREZOPOLIS DE GOIAS;113,33;67,65;75,68;110,64;137,23;111,71;87,79;70,23;81,73;96,55
522130;TRES RANCHOS;84,62;103,03;77,78;100;92,11;145,45;75;71,43;66,67;83,33
522140;TRINDADE;34,12;113,48;72,92;98,24;74,72;70,23;89,97;65,55;19,39;31,23
522145;TROMBAS;42,31;43,48;50;52;84;77,42;82,35;55,88;34,78;33,33
522150;TURVANIA;27,59;120;89,83;86,44;44,07;78,43;70,91;38,18;68,42;50
522155;TURVELANDIA;85,51;101,54;61,76;66,67;72;100;136,84;77,63;94,55;75,71
522157;UIRAPURU;77,78;100;105,26;86,49;54,05;85;86,36;136,36;36;96,77
522160;URUACU;63,85;78,57;50,57;64,12;64,29;74,91;69,39;56,8;36,56;54,72
522170;URUANA;129,55;170,25;45,21;88,37;95,35;96,35;91,5;65,36;43,42;81,48
522180;URUTAI;74,19;92;69,7;134,62;50;152,94;127,27;113,64;38,46;62,5
522185;VALPARAISO DE GOIAS;53,1;102,94;58,88;94,76;74,17;80,11;77,66;59,91;35,47;49,27
522190;VARJAO;85,19;114,29;71,74;100;83,67;89,47;75,61;141,46;109,38;117,24
522200;VIANOPOLIS;66,33;141,62;87,2;112,43;81,08;101,78;94,39;87,76;79,08;63,95
522205;VICENTINOPOLIS;17,95;120;84,26;94,53;72,66;123,58;90;71,82;17,86;28,78
522220;VILA BOA;230,77;126,76;85,33;124,29;62,86;84,75;67,21;72,13;76;84,31
522230;VILA PROPICIO;6,45;65,57;51,52;87,93;93,1;85,42;62,12;80,3;25,35;49,06
