cod_mun;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
521490;NOVA ROMA;13,16;100;63,16;96,97;77,42;95,45;200;153,33;125;94,59;97,3;107,41;96,77
521500;NOVA VENEZA;5,56;131,11;102,22;98,95;80,95;93,02;90,29;124,27;105,15;130,36;95,54;136,05;101,03
521520;NOVO BRASIL;0;93,33;90;143,75;94,44;106,45;91,84;75,51;88,46;153,33;130;53,19;76,67
521523;NOVO GAMA;23,92;89,12;92,14;95,08;94,75;65,82;69,78;79,5;79,91;75;81,59;76,13;83,2
521525;NOVO PLANALTO;10,53;71,93;96,49;111,36;82,98;51,28;90,91;48,48;134,38;77,05;44,26;127,03;109,3
521530;ORIZONA;20,51;88,46;96,15;153,19;87,27;123,53;119,88;100;76,72;77,94;90,69;86,6;72,48
521540;OURO VERDE DE GOIAS;43,33;190;146,67;187,18;100;108;105;111,67;151,35;109,8;109,8;71,43;87,23
521550;OUVIDOR;28,12;114,06;98,44;119,64;114,58;113,24;107,35;100;106,85;138,67;114,67;117,86;90,22
521560;PADRE BERNARDO;31,62;99,02;87,5;95,89;74,94;77,37;90,18;91,52;101,36;74,57;61,21;46,82;74,33
521565;PALESTINA DE GOIAS;7,69;146,15;92,31;62,96;100;124,39;81,82;109,09;92,31;50,94;54,72;95;112,12
521570;PALMEIRAS DE GOIAS;9,89;100,37;102,56;120,75;92,34;23,85;96,78;95,98;114,58;102,97;66,83;95,81;81,67
521580;PALMELO;31,82;127,27;118,18;100;109,52;95;207,69;207,69;125;110;155;61,9;140
521590;PALMINOPOLIS;6,9;141,38;100;257,14;105,26;78,05;127,27;90,91;120,93;90,7;148,84;91,67;58,73
521600;PANAMA;30,3;69,7;121,21;65,62;122,73;166,67;92,5;80;89,66;123,08;123,08;140,74;76,67
521630;PARANAIGUARA;42,2;122,02;111,01;100;84,56;96,52;101,61;96,77;84,55;102,88;89,42;91,4;85,54
521640;PARAUNA;31,43;103,57;92,14;96,1;94,48;118,94;98,63;106,16;96,6;90,3;77,58;107,89;87,12
521645;PEROLANDIA;32,43;124,32;102,7;119,15;78,72;116,28;76,09;97,83;121,62;104,17;68,75;88,89;63,04
521680;PETROLINA DE GOIAS;26,14;125;98,86;159,52;87,5;113,48;104,71;114,12;102,47;119,23;108,97;85,71;89,74
521690;PILAR DE GOIAS;45,83;141,67;83,33;41,94;125,93;92;89,47;102,63;72,22;68,42;107,89;61,76;60
521710;PIRACANJUBA;9,42;106,52;82,97;116,91;105,07;95,31;114,54;105,73;104,23;90,61;118,78;102,13;97,03
521720;PIRANHAS;0,88;125,44;97,37;98,46;91,89;126,32;95,59;88,24;100;87,2;94,4;131,48;88,19
521730;PIRENOPOLIS;20,13;91,69;77,96;83,97;81,63;100,75;101,45;101,45;98,21;98,58;88,61;64,17;98,56
521740;PIRES DO RIO;24,69;122,53;115,12;92,53;73,64;81,79;115,77;103,38;113,29;98,47;114,37;103,02;110,27
