cod_mun;Município;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
521810;PORTELANDIA;1,64;23,53;31,08;56,92;30,77;49,02;70,27;62,16;21,28;24,32
521830;POSSE;9,06;143,4;83,96;49,54;46,33;61,12;63,08;54,92;12,13;17,55
521839;PROFESSOR JAMIL;26,67;3,33;40,62;128,57;64,29;107,69;62,79;30,23;13,04;50
521850;QUIRINOPOLIS;37,71;39,02;44,24;89,6;54,84;52,59;71,16;51,32;14,72;15,54
521860;RIALMA;29,66;60,61;61,11;108;56,67;60,87;66,46;60,13;33,33;6,15
521870;RIANAPOLIS;25;73,68;67,16;122,39;62,69;64,52;108,93;46,43;40,74;25
521878;RIO QUENTE;33,96;51,06;51,16;202,27;77,27;43,14;106,9;70,69;9,8;54,35
521880;RIO VERDE;37,2;38,31;36,49;85,77;60,42;63,68;75,67;60,43;4,28;14,23
521890;RUBIATABA;39,88;50,39;51,82;97,74;78,28;64,23;82,48;51,71;0;9,28
521900;SANCLERLANDIA;18,18;95,59;42,86;61,54;65,38;83,33;87,5;35,42;3,41;24,44
521910;SANTA BARBARA DE GOIAS;36,76;74,7;46,15;72,81;68,42;66,35;69,89;49,46;7,53;29,41
521920;SANTA CRUZ DE GOIAS;15,38;81,48;55,17;96,15;69,23;119,23;80;65,71;0;20
521925;SANTA FE DE GOIAS;36,36;54,55;22,95;107,5;95;54,55;64,63;60,98;26,51;7,41
521930;SANTA HELENA DE GOIAS;37,58;85,28;60;82,84;54,07;32,1;65,64;65,28;8,65;22,92
521935;SANTA ISABEL;5,71;127,78;140,62;81,25;68,75;46,34;105,71;102,86;34,88;60
521940;SANTA RITA DO ARAGUAIA;36,08;62,35;46,6;77,08;66,67;33,68;61,9;35,24;10,68;13,19
521945;SANTA RITA DO NOVO DESTINO;40,74;166,67;66,67;162,5;118,75;136,36;76,67;56,67;22,22;58,82
521950;SANTA ROSA DE GOIAS;13,89;66,67;89,66;57,14;96,43;78,38;115,38;74,36;3,57;23,68
521960;SANTA TEREZA DE GOIAS;21,82;115,91;60,87;89,8;61,22;92,86;106,06;124,24;34,21;11,54
521970;SANTA TEREZINHA DE GOIAS;39,05;9,09;32,43;98,58;59,57;50,65;76,87;59,7;9,02;14,17
521971;SANTO ANTONIO DA BARRA;49,06;56;73,91;110,42;97,92;68,75;104,35;97,83;31,11;8,51
521973;SANTO ANTONIO DE GOIAS;33,71;84,04;36,26;110,38;69,81;98,67;89,8;75,51;36,36;27,38
521975;SANTO ANTONIO DO DESCOBERTO;17,94;142,69;43,18;90,62;72,14;80,4;81,89;62,58;7,81;25,47
521980;SAO DOMINGOS;7,43;30;45,95;90,09;92,79;71,43;79,37;53,17;8,85;10,57
521990;SAO FRANCISCO DE GOIAS;38,18;86,44;65,82;92,11;78,95;52,81;84,42;84,42;4,48;37,7
522000;SAO JOAO D\'ALIANCA;26,17;24,03;21,14;83,93;115,18;89,92;97,92;94,44;17,11;34,07
522005;SAO JOAO DA PARAUNA;25;60;116,67;119,05;76,19;45;72,22;50;14,29;42,31
522010;SAO LUIS DE MONTES BELOS;25,9;73;33,33;85,01;76,02;30,67;66,82;51,57;6,22;17,18
522015;SAO LUIZ DO NORTE;42,86;73,97;20,55;83,1;64,79;82,46;73,33;48,33;0;13,46
522020;SAO MIGUEL DO ARAGUAIA;14,85;90,57;50,81;69,6;67,17;48,93;60,51;45,22;4,14;12,58
522026;SAO MIGUEL DO PASSA QUATRO;44,44;220,83;35,48;127,78;36,11;72,73;100;96,43;3,23;51,61
522028;SAO PATRICIO;17,39;66,67;26,67;104;96;60,71;79,17;54,17;0;27,78
522040;SAO SIMAO;18,94;13,21;54,98;90;53,57;51,33;69,86;48,94;6,75;16,08
522045;SENADOR CANEDO;28,31;62,11;32,7;92,27;49,48;41,88;60,21;47,54;3,3;18,53
522050;SERRANOPOLIS;61,63;113,51;70;116,85;82,02;60,24;91,36;107,41;8,6;11,43
522060;SILVANIA;24,03;110,12;57,14;66,53;54,96;46,55;73,73;56,36;10,83;24,14
522068;SIMOLANDIA;23,36;33,33;26,13;79,57;63,44;89,23;88,89;34,72;6,12;36,84
522070;SITIO D\'ABADIA;85,71;107,41;21,74;68,18;95,45;111,76;136,84;78,95;21,43;24
522100;TAQUARAL DE GOIAS;2,56;101,89;16,22;171,05;92,11;46,67;113,89;44,44;22,22;32,65
522108;TERESINA DE GOIAS;5;100;113,51;136,11;97,22;66,67;79,17;41,67;22,22;18,42
522119;TEREZOPOLIS DE GOIAS;104,76;16,67;61,26;110,64;93,62;103,6;83,21;57,25;14,42;29,89
522130;TRES RANCHOS;15,38;103,03;47,22;100;92,11;109,09;67,86;71,43;11,11;33,33
522140;TRINDADE;32,53;111,37;69,72;98,24;59,25;46,87;71,25;51,25;8,41;18,97
522145;TROMBAS;42,31;36,96;37,5;52;80;67,74;73,53;38,24;34,78;33,33
522150;TURVANIA;27,59;120;83,05;86,44;38,98;68,63;58,18;34,55;34,21;37,04
522155;TURVELANDIA;27,54;58,46;29,41;66,67;70,67;72,31;131,58;75;89,09;74,29
522157;UIRAPURU;18,52;90;84,21;86,49;51,35;70;86,36;50;24;25,81
522160;URUACU;28,82;59,93;37,17;64,12;59,86;47,67;54,25;44,56;5,95;22,83
522170;URUANA;40,15;138,61;19,18;88,37;80,62;56,2;79,08;52,94;11,84;11,11
522180;URUTAI;45,16;60;30,3;134,62;26,92;100;122,73;113,64;38,46;62,5
522185;VALPARAISO DE GOIAS;31,9;102,37;55,72;95,09;64,31;61,29;67,5;50,8;5,22;22,32
522190;VARJAO;77,78;51,43;21,74;100;69,39;71,05;75,61;92,68;84,38;62,07
522200;VIANOPOLIS;20,92;139,31;60,98;112,97;64,86;84,02;83,16;82,14;8,67;20,93
522205;VICENTINOPOLIS;16,24;120;70,37;94,53;65,62;90,57;73,64;58,18;0;28,78
522220;VILA BOA;61,54;73,24;61,33;124,29;62,86;54,24;62,3;55,74;32;29,41
522230;VILA PROPICIO;6,45;63,93;46,97;87,93;77,59;60,42;56,06;60,61;7,04;13,21
