cod_mun,municipio,populacao,taxa_baseline,taxa_simulada,delta_abs,delta_pct,casos_baseline,casos_simulados,delta_casos
520640,CRIXAS,16828.0,0.0010342781656732258,0.0007203662130290499,-0.00031391195264417594,-30.35082466812459,17,12,-5
520650,CROMINIA,3818.0,0.003410684622004273,0.003422069900265765,1.1385278261492014e-05,0.33381210880768886,13,13,0
520660,CUMARI,3028.0,0.002209714838098816,0.002051606786709023,-0.00015810805138979271,-7.1551337151641246,7,6,-1
520670,DAMIANOPOLIS,3623.0,0.0019611723910215287,0.0013060942519387121,-0.0006550781390828166,-33.402374114679525,7,5,-2
520680,DAMOLANDIA,2800.0,0.0008174325286072963,0.0011840265215802964,0.0003665939929730002,44.847003286936236,2,3,1
520690,DAVINOPOLIS,2028.0,1.1988357401724782e-05,1.1076268243322347e-05,-9.120891584024346e-07,-7.608124514799759,0,0,0
520710,DIORAMA,2266.0,0.051675394988591306,0.03298832123296036,-0.018687073755630945,-36.162420741547514,117,75,-42
520725,DOVERLANDIA,7492.0,0.0005070150690752503,0.0004311406035180532,-7.58744655571971e-05,-14.964933033565506,4,3,-1
520735,EDEALINA,3940.0,0.008618879702874348,0.005904163952050788,-0.002714715750823561,-31.497315711672115,34,23,-11
520740,EDEIA,11755.0,0.024874446126731124,0.022088668431780648,-0.0027857776949504753,-11.19935567914721,292,260,-32
520750,ESTRELA DO NORTE,3322.0,0.0003778764533736988,0.00040929463931907103,3.1418185945372235e-05,8.314406908625607,1,1,0
520753,FAINA,7203.0,0.0010125181450371585,0.0005327899808043033,-0.0004797281642328552,-47.379710337462605,7,4,-3
520760,FAZENDA NOVA,6226.0,0.01877720131901581,0.013766771773893523,-0.005010429545122288,-26.683580050069487,117,86,-31
520780,FIRMINOPOLIS,11118.0,0.03971915218354562,0.038044449697332304,-0.0016747024862133128,-4.216360103746346,442,423,-19
520790,FLORES DE GOIAS,13304.0,0.000532942659394484,0.0003591147329616647,-0.00017382792643281934,-32.61662833114509,7,5,-2
520800,FORMOSA,112731.0,0.027804886007693885,0.029117726576060834,0.0013128405683669499,4.721618236462735,3134,3282,148
520810,FORMOSO,4836.0,0.0007333395671713193,0.0005586858083246131,-0.00017465375884670616,-23.81621920666179,4,3,-1
520815,GAMELEIRA DE GOIAS,3401.0,1.2905102253769916e-05,1.358301701085179e-05,6.779147570818742e-07,5.25307544063696,0,0,0
520830,DIVINOPOLIS DE GOIAS,4796.0,0.003644437330740711,0.004260767051829563,0.0006163297210888519,16.91151925950628,17,20,3
520840,GOIANAPOLIS,12876.0,0.001122764664554845,0.0013893684819064078,0.00026660381735156276,23.74529817050006,14,18,4
520850,GOIANDIRA,5241.0,1.6225699884129243e-05,1.566277256139568e-05,-5.629273227335644e-07,-3.4693561865037172,0,0,0
520860,GOIANESIA,68984.0,0.04008009212940564,0.043680290890817,0.0036001987614113634,8.98251119230836,2765,3013,248
520870,GOIANIA,1439700.0,0.13175933028030626,0.15281323029512525,0.021053900014818994,15.979058158559772,189694,220005,30311
520880,GOIANIRA,51558.0,0.0016404677076742654,0.00209142107967683,0.0004509533720025644,27.48931721684988,85,108,23
520890,GOIAS,25035.0,0.021386779322764896,0.021370586701621945,-1.6192621142951252e-05,-0.0757132287128208,535,535,0
520910,GOIATUBA,35407.0,0.008163061033435276,0.006969091357135379,-0.0011939696762998976,-14.62649453935832,289,247,-42
520915,GOUVELANDIA,4755.0,0.0005347068074082904,0.00039181733198742863,-0.0001428894754208618,-26.722957972695966,3,2,-1
520920,GUAPO,16969.0,0.0006701634899566673,0.0006423910791282355,-2.777241082843184e-05,-4.144124716526649,11,11,0
520929,GUARAITA,2306.0,0.0054746806987459136,0.007896305927222019,0.0024216252284761054,44.23317745326823,13,18,5
520940,GUARANI DE GOIAS,4298.0,1.0091799604113301e-05,8.211715117511209e-06,-1.880084486602092e-06,-18.62982382087523,0,0,0
520945,GUARINOS,2279.0,9.809306119294253e-06,7.873583204256388e-06,-1.9357229150378642e-06,-19.73353559871504,0,0,0
520960,HEITORAI,3524.0,0.002320588678605076,0.003109848528871688,0.000789259850266612,34.011191106087885,8,11,3
520970,HIDROLANDIA,22738.0,0.005697558160531763,0.00625764815543813,0.0005600899949063662,9.830351514201867,130,142,12
520980,HIDROLINA,3844.0,1.1305714629107876e-05,1.0990360728708451e-05,-3.153539003994248e-07,-2.789331862202762,0,0,0
520990,IACIARA,11825.0,0.0015439072534044352,0.0006182143853201597,-0.0009256928680842755,-59.957802908371015,18,7,-11
